ID,name,Centroid X,Centroid Y
0,Komki-Ipala,-1.746662341,12.17221886
1,Komsilga,-1.603912595,12.17748446
2,Koubri,-1.269099603,12.21885242
3,Ouagadougou,-1.538121264,12.37548651
4,Pabré,-1.607321968,12.54070751
5,Saaba,-1.325338699,12.38559715
6,Tanguen-Dassouri,-1.722074918,12.31250659
7,Bagassi,-3.262694146,11.74342641
8,Bana,-3.406062033,11.94387759
9,Boromo,-2.959332162,11.67420085
10,Fara,-2.728881737,11.43176323
11,Ouri,-3.060354499,11.97582654
12,Pâ,-3.263094052,11.58318305
13,Pompoï,-3.247605923,11.87887496
14,Poura,-2.755162074,11.62742914
15,Siby,-2.932859967,11.86159379
16,Yaho,-3.485747271,11.81963291
17,Balavé,-4.195002304,12.38007425
18,Kouka,-4.361787829,11.88674635
19,Sami,-4.459342603,12.16590812
20,Sanaba,-3.795937392,12.42028745
21,Solenzo,-4.088224305,12.14211817
22,Tansila,-4.328739743,12.5312736
23,Barani,-3.760768273,13.12732751
24,Bomborokui,-3.955663184,12.97651128
25,Bourasso,-3.672945001,12.6099427
26,Djibasso,-4.126954084,13.16682864
27,Dokui,-4.058815266,12.56203813
28,Doumbala,-4.141053887,12.86072699
29,Kombori,-3.948681745,13.37681986
30,Madouba,-4.274630826,13.1166386
31,Nouna,-3.819674226,12.78806421
32,Sônô,-3.509122697,12.84706748
33,Bondokui,-3.769725865,11.88148656
34,Dédougou,-3.483205726,12.43159779
35,Douroula,-3.304871225,12.53413241
36,Kona,-3.446903285,12.12742676
37,Ouarkoye,-3.700718151,12.12291781
38,Safané,-3.236097323,12.12311813
39,Tchériba,-3.013084564,12.25484818
40,Gassan,-3.237161851,12.80818872
41,Gossina,-2.839561421,12.50935144
42,Kougny,-3.054790967,12.71179251
43,Toma,-2.885187619,12.68627645
44,Yaba,-2.860274224,12.83166349
45,Yé,-3.072655237,12.52046077
46,Di,-3.389949332,13.17055408
47,Gomboro,-2.827548348,13.4485591
48,Kassoum,-3.261636838,13.1031206
49,Kiembara,-2.766832223,13.28749025
50,Lanfièra,-3.406250836,12.92914751
51,Lankoué,-2.570479428,13.22202833
52,Toéni,-3.10383796,13.48743298
53,Tougan,-2.956485728,13.09948682
54,Banfora,-4.815958995,10.58353686
55,Bérégadougou,-4.728230213,10.75885541
56,Mangodara,-4.411543624,9.944746045
57,Moussodougou,-4.898515848,10.8280046
58,Niangoloko,-4.778990807,10.08004438
59,Ouô,-3.945009317,10.26621118
60,Sidéradougou,-4.193142924,10.46849171
61,Soubakaniédougou,-5.005582466,10.41198215
62,Tiéfora,-4.545485972,10.58866264
63,Dakôrô,-5.166643211,10.42329109
64,Douna,-5.091147125,10.64624003
65,Kankalaba,-5.293250474,10.7595536
66,Loumana,-5.385987219,10.57720675
67,Niankôrôdougou,-5.343895938,10.4038476
68,Ouéléni,-5.380658136,10.88212842
69,Sindou,-5.183814755,10.68951407
70,Wolonkoto,-5.002707163,10.70563351
71,Bagré,-0.473839453,11.52027582
72,Bané,-0.281775851,11.5212924
73,Béguédo,-0.751392377,11.79941221
74,Bissiga,-0.078515404,11.82339611
75,Bitou,-0.289092678,11.28450748
76,Boussouma,-0.692550712,11.65547004
77,Garango,-0.584868707,11.7398119
78,Komtoèga,-0.676011724,11.86999975
79,Niaogho,-0.820405296,11.75035056
80,Tenkodogo,-0.338319437,11.74736831
81,Zabré,-0.577083339,11.18845401
82,Zoaga,-0.607883518,11.01765809
83,Zonsé,-0.586267926,11.37946985
84,Komin-Yanga,0.191725283,11.68951065
85,Dourtenga,0.0085543,11.60529738
86,Lalgaye,-0.113489582,11.55560158
87,Ouargaye,0.007539375,11.43572514
88,Sangha,0.154627819,11.17186564
89,Soudougui,0.401564943,11.30709372
90,Yargatenga,-0.001055815,11.23467656
91,Yondé,0.19842921,11.47471988
92,Andemtenga,-0.286197832,12.38093306
93,Baskouré,-0.200470491,12.19010311
94,Dialgaye,-0.377777704,11.92669748
95,Gounguen,-0.12844367,12.11577989
96,Kando,-0.501717868,12.41906376
97,Koupèla,-0.347742568,12.17974937
98,Pouytenga,-0.422875146,12.25174852
99,Tensobentenga,-0.264325141,11.96588188
100,Yargo,-0.269339869,12.07608863
101,Bourzanga,-1.536097311,13.7152482
102,Guibaré,-1.627830887,13.10580281
103,Kongoussi,-1.595511763,13.39102682
104,Nasséré,-1.366950421,13.31949653
105,Rollo,-1.74954769,13.58492928
106,Roukô,-1.65082976,13.20993453
107,Sabsé,-1.472136907,13.20632022
108,Tikaré,-1.762694294,13.3589582
109,Zimtanga,-1.453440096,13.47140513
110,Boala,-0.670847533,12.93076856
111,Boulsa,-0.519888356,12.68774767
112,Bouroum,-0.625927771,13.68933972
113,Dargo,-0.313586424,12.70375421
114,Nagbingou,-0.481133011,13.57279199
115,Tougouri,-0.510616605,13.22312005
116,Yalgo,-0.328358877,13.51257045
117,Zéguédéguen,-0.426415718,12.91818491
118,Barsalogho,-1.040120224,13.5287894
119,Boussouma,-1.085242998,12.95177011
120,Dablo,-1.196390349,13.67810939
121,Kaya,-1.152575955,13.16544709
122,Korsimoro,-1.150498368,12.81430451
123,Mané,-1.415410689,13.02199916
124,Namissiguima,-1.308250292,13.47175922
125,Pensa,-0.793191334,13.71509454
126,Pibaoré,-0.789572653,12.83170403
127,Pissila,-0.829638639,13.21636877
128,Ziga,-0.888360876,12.71373762
129,Bingo,-1.913460251,12.30061421
130,Imasgho,-2.323742092,12.45780507
131,Kindi,-2.060706312,12.44077849
132,Kokologo,-1.921539352,12.18780499
133,Koudougou,-2.324108286,12.29503462
134,Nanoro,-2.142462109,12.65075786
135,Nandiala,-2.167903131,12.35788881
136,Pella,-2.047507471,12.57728606
137,Poa,-2.102131693,12.22437832
138,Ramongo,-2.288226842,12.18490094
139,Sabou,-2.195368306,12.07975035
140,Siglé,-1.889671916,12.54662173
141,Soa,-2.184078445,12.52514637
142,Sourgou,-2.37871918,12.08140997
143,Thiou,-2.154760775,12.01464338
144,Dassa,-2.7281177,12.41903004
145,Didyr,-2.612365523,12.57023826
146,Godyr,-2.592389002,12.73470369
147,Kordié,-2.392852203,12.55699179
148,Kyon,-2.642170707,12.32406424
149,Pouni,-2.509611387,11.94462638
150,Réo,-2.496797212,12.33948896
151,Ténado,-2.668267217,12.20061866
152,Zamo,-2.763459814,11.99909367
153,Zawara,-2.692545923,11.76179798
154,Bieha,-1.768031819,11.17396881
155,Boura,-2.464577621,11.11751638
156,Léo,-2.10470273,11.08785393
157,Nébiélianayou,-2.347282178,11.82312892
158,Niabouri,-2.623664956,11.27226892
159,Silly,-2.490978516,11.59029093
160,To,-2.263768949,11.3577188
161,Bakata,-1.865643977,11.80527037
162,Bougnounou,-2.088465391,11.87365277
163,Kassou,-2.003836529,11.51875809
164,Dalô,-2.15427498,11.7714307
165,Gaô,-2.23237995,11.62397089
166,Sapouy,-1.649042799,11.57171036
167,Doulougou,-1.476462177,11.90993789
168,Gaongo,-1.119299701,12.05402099
169,Ipelsé,-1.595345765,11.90193973
170,Kayao,-1.862964278,12.03182454
171,Kombissiri,-1.336525427,11.98407495
172,Saponé,-1.573857166,12.04076115
173,Toécé,-1.332607835,11.78155161
174,Guiaro,-1.422811231,11.29549735
175,Po,-1.156113758,11.17449299
176,Tiébélé,-0.938263187,11.09372974
177,Zecco,-0.870262119,11.02187376
178,Ziou,-0.780037142,11.06959074
179,Béré,-1.067008053,11.90171108
180,Bindé,-0.976518989,11.79502255
181,Gogo,-0.922907539,11.48635471
182,Gomboussougou,-0.74472941,11.38955784
183,Guiba,-1.142423557,11.63305683
184,Manga,-1.054549487,11.64573335
185,Nobéré,-1.223891294,11.58733238
186,Bilanga,0.13901219,12.52901134
187,Bogandé,-0.048380949,12.94856409
188,Koala,-0.041856262,13.42698633
189,Liptougou,0.343340715,13.08546723
190,Mani,-0.073619404,13.18732561
191,Piéla,-0.023685085,12.73532356
192,Thion,-0.307954224,13.05673992
193,Diabo,0.004811912,11.9616281
194,Diapangou,0.180463811,12.10445943
195,Fada-Ngourma,0.499181591,11.94001973
196,Matiakoali,1.030305266,12.26624717
197,Tibga,0.067375798,12.27241886
198,Yamba,0.426086579,12.28967303
199,Bartiébougou,0.80588522,12.86712569
200,Foutouri,1.089677552,12.87204253
201,Gayéri,0.575924251,12.66077374
202,Kompienga,0.614855197,11.06318023
203,Madjoari,1.183744698,11.38867284
204,Pama,0.84806567,11.48990509
